gol.a3	11
gol.b1	11
gol.b2	11
gol.c1	11
gol.d2	11
gol.d3	11
gol.e2	11
gol.e3	11
gol.f1	11
gol.g1	11
gol.h2	11
gol.h3	11
HUX42.1	12
HUX42.2	12
HUX42.3	12
HUX42.4	12
HUX42.5	12
HUX42.6	12
HUX42.7	12
HUX42.8	12
HUX44.1	12
HUX44.2	12
HUX44.3	12
HUX44.4	12
HUX44.5	12
HUX44.6	12
HUX44.7	12
HUX44.8	12
HUX45.1	12
HUX45.2	12
HUX45.3	12
HUX45.4	12
HUX45.5	12
HUX45.6	12
HUX45.7	12
HUX45.8	12
isd.a10	5
isd.b11	5
isd.b12	5
isd.c10	5
isd.c11	5
isd.c12	5
isd.d10	5
isd.d12	5
isd.e11	5
isd.e12	5
isd.f10	5
isd.g12	5
mtc.a4	8
mtc.a6	8
mtc.b4	8
mtc.b5	8
mtc.c4	8
mtc.c5	8
mtc.d6	8
mtc.e6	8
mtc.f5	8
mtc.g4	8
mtc.g5	8
mtc.h6	8
nop.a5	6
nop.a6	6
nop.b4	6
nop.b5	6
nop.b6	6
nop.c4	6
nop.d4	6
nop.e6	6
nop.f5	6
nop.g4	6
nop.g6	6
nop.h6	6
NVL61.1	9
NVL61.2	9
NVL61.3	9
NVL61.4	9
NVL61.5	9
NVL61.6	9
NVL63.1	9
NVL63.2	9
NVL63.3	9
NVL63.4	9
NVL63.5	9
NVL63.6	9
NVL64.1	9
NVL64.2	9
NVL64.3	9
NVL64.4	9
NVL64.5	9
NVL64.6	9
NVL65.1	9
NVL65.2	9
NVL65.3	9
NVL65.4	9
NVL65.5	9
NVL65.6	9
poc.a10	7
poc.a11	7
poc.a12	7
poc.b12	7
poc.c11	7
poc.d10	7
poc.d11	7
poc.d12	7
poc.e11	7
poc.f11	7
poc.f12	7
poc.g12	7
SRL32.1	4
SRL32.2	4
SRL32.3	4
SRL32.4	4
SRL32.5	4
SRL32.6	4
SRL32.7	4
SRL32.8	4
SRL33.1	4
SRL33.2	4
SRL33.3	4
SRL33.4	4
SRL33.5	4
SRL33.6	4
SRL33.7	4
SRL33.8	4
SRL34.1	4
SRL34.2	4
SRL34.3	4
SRL34.4	4
SRL34.5	4
SRL34.6	4
SRL34.7	4
SRL34.8	4
vlc.a8	10
vlc.a9	10
vlc.b7	10
vlc.b8	10
vlc.b9	10
vlc.c8	10
vlc.c9	10
vlc.d8	10
vlc.e7	10
vlc.f8	10
vlc.f9	10
vlc.h7	10
yai.a7	3
yai.a8	3
yai.a9	3
yai.b8	3
yai.b9	3
yai.c7	3
yai.c8	3
yai.d9	3
yai.e7	3
yai.e9	3
yai.f7	3
yai.g8	3
YAV1.1	1
YAV1.2	1
YAV1.3	1
YAV1.4	1
YAV1.5	1
YAV1.6	1
YAV4.1	1
YAV4.2	1
YAV4.3	1
YAV4.4	1
YAV4.5	1
YAV4.6	1
YAV5.1	1
YAV5.2	1
YAV5.3	1
YAV5.4	1
YAV5.5	1
YAV5.6	1
YAV6.1	1
YAV6.2	1
YAV6.3	1
YAV6.4	1
YAV6.5	1
YAV6.6	1
zag.a3	2
zag.b1	2
zag.c1	2
zag.c3	2
zag.d1	2
zag.d2	2
zag.d3	2
zag.f2	2
zag.g1	2
zag.g2	2
zag.g3	2
zag.h1	2
